190198,000000; 0,000977; 0,002451; -0,022491
190207,000000; 0,003812; 0,007811; -0,009951
190216,000000; -0,001890; -0,013089; -0,012578
190225,000000; -0,017388; -0,035265; -0,031141
190234,000000; -0,034177; -0,059970; -0,050399
190243,000000; -0,051975; -0,085777; -0,083078
190252,000000; -0,069174; -0,108753; -0,101175
190261,000000; -0,085081; -0,129440; -0,110966
190270,000000; -0,099697; -0,150019; -0,138742
190280,000000; -0,106533; -0,151767; -0,164648
190291,000000; -0,106407; -0,157235; -0,209056
190300,000000; -0,104926; -0,156497; -0,231295
190309,000000; -0,101902; -0,156806; -0,257878
190318,000000; -0,098469; -0,152490; -0,257229
190327,000000; -0,095098; -0,148315; -0,250149
190336,000000; -0,091885; -0,146904; -0,262966
190345,000000; -0,088200; -0,142670; -0,261919
190354,000000; -0,083695; -0,140748; -0,279639
190363,000000; -0,079065; -0,134994; -0,270665
190372,000000; -0,075190; -0,137212; -0,295242
190383,000000; -0,071032; -0,132218; -0,292769
190392,000000; -0,067063; -0,132561; -0,303574
190401,000000; -0,065079; -0,143075; -0,342011
190410,000000; -0,064354; -0,140433; -0,328443
190419,000000; -0,064008; -0,138688; -0,315649
190428,000000; -0,063756; -0,141734; -0,322863
190437,000000; -0,063157; -0,144567; -0,322265
190446,000000; -0,062559; -0,145869; -0,322434
190456,000000; -0,070466; -0,170371; -0,330847
190465,000000; -0,086090; -0,190665; -0,339983
190474,000000; -0,100706; -0,216444; -0,367399
190483,000000; -0,106029; -0,210698; -0,365448
190492,000000; -0,101903; -0,208343; -0,367409
190501,000000; -0,097839; -0,205218; -0,362863
190510,000000; -0,094878; -0,203736; -0,359522
190519,000000; -0,092043; -0,198586; -0,349893
190528,000000; -0,098375; -0,227623; -0,368975
190539,000000; -0,113747; -0,249632; -0,383234
190548,000000; -0,127229; -0,265045; -0,388721
190557,000000; -0,139734; -0,286742; -0,406118
190566,000000; -0,153311; -0,313097; -0,430541
190575,000000; -0,161501; -0,331282; -0,468532
190584,000000; -0,162698; -0,347210; -0,498600
190593,000000; -0,160902; -0,336213; -0,479296
190602,000000; -0,155831; -0,334464; -0,483436
190612,000000; -0,151168; -0,333925; -0,478774
190621,000000; -0,149215; -0,346406; -0,498972
190630,000000; -0,147987; -0,341428; -0,486717
190639,000000; -0,145341; -0,337048; -0,479966
190648,000000; -0,140805; -0,330329; -0,471585
190657,000000; -0,136584; -0,330473; -0,470271
